-1.94045	-0.486245
-1.94864	-0.451845
-1.95622	-0.417367
-1.9632	-0.38282
-1.96958	-0.34821
-1.97535	-0.313543
-1.98052	-0.278826
-1.98508	-0.244065
-1.98904	-0.209266
-1.99239	-0.174435
-1.99513	-0.139578
-1.99726	-0.104701
-1.99878	-0.0698088
-1.9997	-0.0349068
-2	9.7944e-006
-1.99969	0.0350593
-1.99877	0.0705502
-1.99723	0.106859
-1.99505	0.144315
-1.99224	0.183196
-1.98879	0.223731
-1.98473	0.266104
-1.98008	0.310457
-1.97489	0.356892
-1.96923	0.405475
-1.96319	0.456233
-1.95687	0.509159
-1.95038	0.56421
-1.94384	0.621308
-1.93739	0.680343
-1.93116	0.741174
-1.92526	0.803634
-1.91981	0.867534
-1.91489	0.932673
-1.91057	0.998838
-1.90689	1.06582
-1.90387	1.13342
-1.90151	1.20145
-1.89976	1.26973
-1.89858	1.33814
-1.8979	1.40654
-1.89762	1.47484
-1.89765	1.54297
-1.8979	1.61088
-1.89825	1.67853
-1.89859	1.74592
-1.89881	1.81301
-1.89879	1.87981
-1.89844	1.94632
-1.89763	2.01252
-1.89627	2.07841
-1.89426	2.14397
-1.8915	2.20917
-1.88789	2.274
-1.88335	2.33839
-1.8778	2.40232
-1.87117	2.46571
-1.86338	2.5285
-1.85438	2.59061
-1.84412	2.65197
-1.83255	2.71248
-1.81965	2.77206
-1.80539	2.83062
-1.78975	2.88807
-1.77273	2.94431
-1.75433	2.99926
-1.73456	3.05283
-1.71345	3.10497
-1.69101	3.15559
-1.66728	3.20464
-1.64228	3.25208
-1.61604	3.29788
-1.58861	3.34202
-1.56	3.38449
-1.53023	3.42529
-1.49933	3.46445
-1.46729	3.50197
-1.43412	3.53791
-1.39981	3.57229
-1.36432	3.60516
-1.32764	3.63656
-1.2897	3.66654
-1.25047	3.69514
-1.20989	3.72239
-1.1679	3.74833
-1.12443	3.77298
-1.07943	3.79635
-1.03283	3.81847
-0.984594	3.83932
-0.934675	3.85893
-0.883042	3.87726
-0.829676	3.89434
-0.774574	3.91013
-0.717746	3.92465
-0.659218	3.93787
-0.599034	3.94981
-0.537257	3.96045
-0.473967	3.9698
-0.409265	3.97788
-0.343273	3.98468
-0.276138	3.99022
-0.20803	3.99451
-0.139147	3.99756
-0.0697169	3.99939
5.87664e-006	4
